jaar#atclaatst#atclaatst_naam_tekst#vergoeding#gebruikers#uitgiftes#DDD#vergoeding_per_gebruiker#vergoeding_per_uitgifte#uitgifte_per_gebruiker#DDD_per_uitgifte#vergoeding_per_DDD#DDD_per_gebruiker
2015 #A01AA03 #Olaflur #40589 #18439 #19822 #771670 #2.2 #2.05 #1.08 #38.93 #0.05 #41.85
2015 #A01AA51 #Natriumfluoride  combinatiepreparaten #48 #2 #2 #1000 #23.93 #23.93 #1 #500 #0.05 #500
2015 #A01AB02 #Waterstofperoxide #2623 #1272 #1392 #210530 #2.06 #1.88 #1.09 #151.2 #0.01 #165.6
2015 #A01AB13 #Tetracycline #20379 #732.7 #892 #13238 #27.81 #22.84 #1.22 #14.83 #1.54 #18.07
2015 #A01AC01 #Triamcinolon #59459 #2716 #3679 #118400 #21.89 #16.16 #1.35 #32.18 #0.5 #43.6
2015 #A01AC02 #Dexamethason #36270 #195.3 #499 #293900 #185.7 #72.64 #2.56 #588.6 #0.12 #1505
2015 #A01AC__ #Corticosteroiden voor lokaal gebruik in de mond #123090 #1011 #1955 #311450 #121.8 #62.97 #1.93 #159.3 #0.4 #308.1
2015 #A01AD11 #Diverse middelen #464430 #13784 #15460 #3091600 #33.69 #30.04 #1.12 #200 #0.15 #224.3
2015 #A02AA02 #Magnesiumoxide #65 #3 #6 #1600 #21.54 #10.77 #2 #266.7 #0.04 #533.3
2015 #A02AA03 #Magnesiumperoxide #849 #4 #12 #3250 #212.2 #70.74 #3 #270.8 #0.26 #812.5
2015 #A02AC01 #Calciumcarbonaat #47 #6.01 #10 #1451 #7.86 #4.64 #1.69 #142.6 #0.03 #241.7
2015 #A02AH__ #Antacida met natriumwaterstofcarbonaat #27 #4.3 #8 #1496 #6.39 #3.24 #1.97 #176.4 #0.02 #348.1
2015 #A02BA01 #Cimetidine #141920 #3904 #17152 #720280 #36.35 #8.27 #4.39 #41.99 #0.2 #184.5
2015 #A02BA02 #Ranitidine #1799000 #83957 #463150 #16150500 #21.43 #3.88 #5.52 #34.87 #0.11 #192.4
2015 #A02BA03 #Famotidine #197790 #1685 #10972 #483260 #117.4 #18.03 #6.51 #44.04 #0.41 #286.9
2015 #A02BA04 #Nizatidine #44623 #210.4 #1265 #49549 #212.1 #35.28 #6.01 #39.18 #0.9 #235.5
2015 #A02BB01 #Misoprostol #106190 #7095 #8638 #28272 #14.97 #12.29 #1.22 #3.27 #3.76 #3.98
2015 #A02BC01 #Omeprazol #14415500 #1106000 #8282000 #423325900 #13.03 #1.74 #7.49 #51.11 #0.03 #382.8
2015 #A02BC02 #Pantoprazol #7055800 #721340 #6935600 #185055600 #9.78 #1.02 #9.61 #26.68 #0.04 #256.5
2015 #A02BC03 #Lansoprazol #286570 #12566 #85343 #3959800 #22.81 #3.36 #6.79 #46.4 #0.07 #315.1
2015 #A02BC04 #Rabeprazol #1173100 #30293 #224980 #9721800 #38.72 #5.21 #7.43 #43.21 #0.12 #320.9
2015 #A02BC05 #Esomeprazol #11407400 #220890 #1814700 #82269300 #51.64 #6.29 #8.22 #45.34 #0.14 #372.5
2015 #A02BD04 #Pantoprazol  amoxicilline en claritromycine #1716400 #26048 #27139 #193190 #65.89 #63.24 #1.04 #7.12 #8.88 #7.42
2015 #A02BX02 #Sucralfaat #1297500 #34152 #75918 #1641200 #37.99 #17.09 #2.22 #21.62 #0.79 #48.05
2015 #A02BX05 #Bismutsubcitraat #3019 #106.9 #113 #2118 #28.26 #26.65 #1.06 #18.69 #1.43 #19.82
2015 #A03AA04 #Mebeverine #4284200 #106340 #431390 #15792300 #40.29 #9.93 #4.06 #36.61 #0.27 #148.5
2015 #A03AB02 #Glycopyrroniumbromide #621590 #2152 #8747 #336730 #288.8 #71.06 #4.06 #38.5 #1.85 #156.5
2015 #A03AX13 #Dimeticon #14 #1 #1 #50 #14.11 #14.11 #1 #50 #0.28 #50
2015 #A03BA01 #Atropine #37345 #350.3 #787 #10771 #106.6 #47.43 #2.25 #13.68 #3.47 #30.75
2015 #A03BB01 #Scopolaminebutyl #31981 #4274 #5349 #10142 #7.48 #5.98 #1.25 #1.9 #3.15 #2.37
2015 #A03FA01 #Metoclopramide #637510 #207130 #427400 #3861400 #3.08 #1.49 #2.06 #9.03 #0.17 #18.64
2015 #A03FA03 #Domperidon #1007300 #106330 #274030 #3803400 #9.47 #3.68 #2.58 #13.88 #0.26 #35.77
2015 #A03FA05 #Alizapride #9 #2 #2 #10 #4.66 #4.66 #1 #5 #0.93 #5
2015 #A04AA01 #Ondansetron #1946300 #42402 #94159 #510470 #45.9 #20.67 #2.22 #5.42 #3.81 #12.04
2015 #A04AA02 #Granisetron #350560 #12909 #32803 #205470 #27.16 #10.69 #2.54 #6.26 #1.71 #15.92
2015 #A04AD01 #Scopolamine #142350 #4221 #6661 #41633 #33.72 #21.37 #1.58 #6.25 #3.42 #9.86
2015 #A04AD12 #Aprepitant #2588500 #13286 #47176 #116220 #194.8 #54.87 #3.55 #2.46 #22.27 #8.75
2015 #A05AA02 #Ursodeoxycholzuur #7252000 #13887 #85185 #3838500 #522.2 #85.13 #6.13 #45.06 #1.89 #276.4
2015 #A06AA01 #Paraffine  vloeibaar #776 #32 #45 #2776 #24.23 #17.4 #1.39 #62.28 #0.28 #86.75
2015 #A06AB02 #Bisacodyl #77753 #44754 #132080 #1667500 #1.74 #0.59 #2.95 #12.62 #0.05 #37.26
2015 #A06AB05 #Ricinusolie #182 #8 #15 #785 #22.77 #12.14 #1.88 #52.33 #0.23 #98.13
2015 #A06AB06 #Sennaglycosiden #379160 #7627 #27771 #1371600 #49.71 #13.65 #3.64 #49.39 #0.28 #179.8
2015 #A06AB58 #Picozwavelzuur (na-zout)  combinatiepreparaten #964970 #46341 #50166 #57240 #20.82 #19.24 #1.08 #1.14 #16.86 #1.24
